PIO_CAPTURING...
PIO_CAPTURE_DONE count=32768 sample_hz=33250000.0
BEGIN_PIO_CAPTURE
sample_hz=33250000.0
idx,delta_ns,p6,fd7,fd6,fd5,fd4,fd3,fd2,fd1,fd0,reb,p16,p17,p18,p19,rst-,p21,p22
333,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
334,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
335,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
336,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
337,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
338,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
339,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
340,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
341,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
342,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
343,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
344,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
345,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
